"Subj_ID","RT","Polarity","Truth_Value","Numerosity"
"1",2263.81560847208,"AFF","False","MAG"
"1",2148.99942837066,"AFF","False","MAG"
"1",818.724877387589,"AFF","False","MAG"
"1",832.126166244398,"AFF","False","MAG"
"1",1270.26066440275,"AFF","False","MAG"
"1",871.559487936939,"AFF","False","MAG"
"1",914.469429376237,"AFF","False","MAG"
"1",1090.5692876564,"AFF","False","MAG"
"1",2557.64713284631,"AFF","False","MAG"
"1",1107.73010217768,"AFF","False","MAG"
"1",1276.28087998306,"AFF","False","MAG"
"1",1003.79339363947,"AFF","False","MAG"
"1",732.65541980354,"AFF","False","MAG"
"1",2130.6875401915,"AFF","False","MAG"
"1",2883.26302913389,"AFF","False","MAG"
"1",705.421433404291,"AFF","False","MAG"
"1",2472.45941708473,"AFF","False","MAG"
"1",2319.48991850744,"AFF","False","MAG"
"1",1189.30819934707,"AFF","False","MAG"
"1",1785.27634300407,"AFF","False","MAG"
"1",1246.96174432148,"AFF","False","MAG"
"1",3011.11754613348,"AFF","False","MAG"
"1",1072.81528469252,"AFF","False","MAG"
"1",1102.65791117573,"AFF","False","MAG"
"1",716.342685927714,"AFF","False","MAG"
"1",1151.39867281475,"AFF","False","MAG"
"1",521.490065658507,"AFF","False","MAG"
"1",1030.37556913716,"AFF","False","MAG"
"1",1766.8030079148,"AFF","False","MAG"
"1",3451.77996889454,"AFF","False","MAG"
"1",1214.47720943458,"AFF","False","MAG"
"1",930.688148234646,"AFF","False","MAG"
"1",1060.13007665313,"AFF","False","MIN"
"1",1544.15531123256,"AFF","False","MIN"
"1",677.127164534983,"AFF","False","MIN"
"1",445.521360004799,"AFF","False","MIN"
"1",1497.10621055627,"AFF","False","MIN"
"1",1287.57691116826,"AFF","False","MIN"
"1",1098.69696069355,"AFF","False","MIN"
"1",758.012277872334,"AFF","False","MIN"
"1",4091.36492247076,"AFF","False","MIN"
"1",474.034650389181,"AFF","False","MIN"
"1",835.114450745762,"AFF","False","MIN"
"1",2676.02649761896,"AFF","False","MIN"
"1",1252.04366621317,"AFF","False","MIN"
"1",496.809743032807,"AFF","False","MIN"
"1",1151.74078666403,"AFF","False","MIN"
"1",1200.85139772194,"AFF","False","MIN"
"1",1714.90145231017,"AFF","False","MIN"
"1",959.174898515665,"AFF","False","MIN"
"1",1486.6812633775,"AFF","False","MIN"
"1",859.164796979581,"AFF","False","MIN"
"1",731.195641917421,"AFF","False","MIN"
"1",971.531777305415,"AFF","False","MIN"
"1",985.973620069324,"AFF","False","MIN"
"1",2878.08783749721,"AFF","False","MIN"
"1",946.513654244316,"AFF","False","MIN"
"1",831.931774026013,"AFF","False","MIN"
"1",664.780141454015,"AFF","False","MIN"
"1",1055.91183817929,"AFF","False","MIN"
"1",1703.32230156408,"AFF","False","MIN"
"1",1606.93978216482,"AFF","False","MIN"
"1",1089.6146917308,"AFF","False","MIN"
"1",978.589049362247,"AFF","False","MIN"
"1",1136.68003016589,"AFF","True","MAG"
"1",1195.70475087393,"AFF","True","MAG"
"1",688.534189511488,"AFF","True","MAG"
"1",811.652396399943,"AFF","True","MAG"
"1",1274.56882361613,"AFF","True","MAG"
"1",1328.01111631496,"AFF","True","MAG"
"1",1160.75769407449,"AFF","True","MAG"
"1",1941.70599377699,"AFF","True","MAG"
"1",792.650164855807,"AFF","True","MAG"
"1",758.11692632556,"AFF","True","MAG"
"1",1011.43552306481,"AFF","True","MAG"
"1",2125.19156920441,"AFF","True","MAG"
"1",612.871297800647,"AFF","True","MAG"
"1",963.48143744358,"AFF","True","MAG"
"1",927.079472862781,"AFF","True","MAG"
"1",1055.6032467513,"AFF","True","MAG"
"1",1045.60847511058,"AFF","True","MAG"
"1",1071.34834443536,"AFF","True","MAG"
"1",1558.18502413063,"AFF","True","MAG"
"1",878.700616135302,"AFF","True","MAG"
"1",497.981620367041,"AFF","True","MAG"
"1",672.082422049994,"AFF","True","MAG"
"1",993.887507730489,"AFF","True","MAG"
"1",701.548382426528,"AFF","True","MAG"
"1",866.002180287639,"AFF","True","MAG"
"1",854.059877633319,"AFF","True","MAG"
"1",1198.81722648919,"AFF","True","MAG"
"1",2672.49075903675,"AFF","True","MAG"
"1",1299.72271988793,"AFF","True","MAG"
"1",2308.22493159882,"AFF","True","MAG"
"1",868.875581185077,"AFF","True","MAG"
"1",1635.76242559177,"AFF","True","MAG"
"1",2587.06635023219,"AFF","True","MIN"
"1",1732.6146656688,"AFF","True","MIN"
"1",2444.96683077536,"AFF","True","MIN"
"1",2028.373813348,"AFF","True","MIN"
"1",579.93957621698,"AFF","True","MIN"
"1",1789.08877353818,"AFF","True","MIN"
"1",705.013226787575,"AFF","True","MIN"
